#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
   65 OH           CRP          O            H                                        6.63E-15  0.00E+00  0.00E+00   1
   66 XH           CRP          X            H                                        6.63E-15  0.00E+00  0.00E+00   1
   67 PH           CRP          P            H                                        6.50E-15  0.00E+00  0.00E+00   1
   68 PN           CRP          P            N                                        6.50E-15  0.00E+00  0.00E+00   1
   69 PO           CRP          P            O                                        6.50E-15  0.00E+00  0.00E+00   1
   70 PX           CRP          P            X                                        6.50E-15  0.00E+00  0.00E+00   1
   71 S2           CRP          S            S                                        6.50E-15  0.00E+00  0.00E+00   1
   72 SiC          CRP          Si           C                                        6.50E-15  0.00E+00  0.00E+00   1
   73 SiH          CRP          Si           H                                        6.50E-15  0.00E+00  0.00E+00   1
   74 SiN          CRP          Si           N                                        6.50E-15  0.00E+00  0.00E+00   1
   75 SiO          CRP          Si           O                                        6.50E-15  0.00E+00  0.00E+00   1
   76 SiX          CRP          Si           X                                        6.50E-15  0.00E+00  0.00E+00   1
   77 SiS          CRP          Si           S                                        6.50E-15  0.00E+00  0.00E+00   1
   78 SO           CRP          S            O                                        6.50E-15  0.00E+00  0.00E+00   1
   79 SX           CRP          S            X                                        6.50E-15  0.00E+00  0.00E+00   1
   80 C2H          CRP          C2           H                                        6.50E-14  0.00E+00  0.00E+00   1
   81 C2N          CRP          C            CN                                       1.30E-14  0.00E+00  0.00E+00   1
   82 C2S          CRP          CS           C                                        1.95E-14  0.00E+00  0.00E+00   1
   83 C3           CRP          C2           C                                        1.46E-14  0.00E+00  0.00E+00   1
   84 CCO          CRP          C2           O                                        9.75E-15  0.00E+00  0.00E+00   1
   85 CCX          CRP          C2           X                                        9.75E-15  0.00E+00  0.00E+00   1
   86 CCO          CRP          CO           C                                        9.75E-15  0.00E+00  0.00E+00   1
   87 CCX          CRP          CX           C                                        9.75E-15  0.00E+00  0.00E+00   1
   88 CCP          CRP          C2           P                                        9.75E-15  0.00E+00  0.00E+00   1
   89 CCP          CRP          CP           C                                        9.75E-15  0.00E+00  0.00E+00   1
   90 CH2          CRP          CH2+         E                                        6.50E-15  0.00E+00  0.00E+00   1
   91 CO2          CRP          CO           O                                        2.22E-14  0.00E+00  0.00E+00   1
   92 COX          CRP          CX           O                                        1.11E-14  0.00E+00  0.00E+00   1
   93 COX          CRP          CO           X                                        1.11E-14  0.00E+00  0.00E+00   1
   94 H2O          CRP          OH           H                                        1.26E-14  0.00E+00  0.00E+00   1
   95 H2X          CRP          XH           H                                        1.26E-14  0.00E+00  0.00E+00   1
   96 H2S          CRP          H2           S                                        6.69E-14  0.00E+00  0.00E+00   1
   97 H2S          CRP          H2S+         E                                        2.21E-14  0.00E+00  0.00E+00   1
   98 HCN          CRP          CN           H                                        4.06E-14  0.00E+00  0.00E+00   1
   99 HCO          CRP          CO           H                                        5.47E-15  0.00E+00  0.00E+00   1
  100 HCX          CRP          CX           H                                        5.47E-15  0.00E+00  0.00E+00   1
  101 HCO          CRP          HCO+         E                                        1.52E-14  0.00E+00  0.00E+00   1
  102 HCX          CRP          HCX+         E                                        1.52E-14  0.00E+00  0.00E+00   1
  103 HCP          CRP          CP           H                                        1.95E-14  0.00E+00  0.00E+00   1
  104 HCS          CRP          HCS+         E                                        1.95E-14  0.00E+00  0.00E+00   1
  105 HCSi         CRP          CH           Si                                       1.95E-14  0.00E+00  0.00E+00   1
  106 HNC          CRP          CN           H                                        3.90E-14  0.00E+00  0.00E+00   1
  107 HNO          CRP          HNO+         E                                        1.30E-14  0.00E+00  0.00E+00   1
  108 HNX          CRP          HNX+         E                                        1.30E-14  0.00E+00  0.00E+00   1
  109 HNSi         CRP          SiN          H                                        1.95E-14  0.00E+00  0.00E+00   1
  110 HPO          CRP          PO           H                                        1.95E-14  0.00E+00  0.00E+00   1
  111 HPX          CRP          PX           H                                        1.95E-14  0.00E+00  0.00E+00   1
  112 HS2          CRP          HS           S                                        1.95E-14  0.00E+00  0.00E+00   1
  113 N2O          CRP          NO           N                                        1.95E-14  0.00E+00  0.00E+00   1
  114 N2X          CRP          NX           N                                        1.95E-14  0.00E+00  0.00E+00   1
  115 NaOH         CRP          Na           OH                                       1.95E-14  0.00E+00  0.00E+00   1
  116 NaXH         CRP          Na           XH                                       1.95E-14  0.00E+00  0.00E+00   1
  117 NH2          CRP          NH           H                                        1.04E-15  0.00E+00  0.00E+00   1
  118 NH2          CRP          NH2+         E                                        8.45E-15  0.00E+00  0.00E+00   1
  119 NO2          CRP          NO           O                                        1.95E-14  0.00E+00  0.00E+00   1
  120 NOX          CRP          NX           O                                        9.75E-15  0.00E+00  0.00E+00   1
  121 NOX          CRP          NO           X                                        9.75E-15  0.00E+00  0.00E+00   1
  122 O2H          CRP          O            OH                                       9.75E-15  0.00E+00  0.00E+00   1
  123 OXH          CRP          X            OH                                       4.87E-15  0.00E+00  0.00E+00   1
  124 OXH          CRP          O            XH                                       4.87E-15  0.00E+00  0.00E+00   1
  125 O2H          CRP          O2           H                                        9.75E-15  0.00E+00  0.00E+00   1
  126 OXH          CRP          OX           H                                        9.75E-15  0.00E+00  0.00E+00   1
  127 OCN          CRP          CN           O                                        1.95E-14  0.00E+00  0.00E+00   1
  128 XCN          CRP          CN           X                                        1.95E-14  0.00E+00  0.00E+00   1
  129 OCS          CRP          CO           S                                        6.96E-14  0.00E+00  0.00E+00   1
  130 XCS          CRP          CX           S                                        6.96E-14  0.00E+00  0.00E+00   1
  131 OCS          CRP          OCS+         E                                        1.87E-14  0.00E+00  0.00E+00   1
  132 XCS          CRP          XCS+         E                                        1.87E-14  0.00E+00  0.00E+00   1
  133 PH2          CRP          PH           H                                        1.95E-14  0.00E+00  0.00E+00   1
  134 SiC2         CRP          SiC          C                                        1.95E-14  0.00E+00  0.00E+00   1
  135 SiH2         CRP          SiH          H                                        1.95E-14  0.00E+00  0.00E+00   1
  136 SiNC         CRP          Si           CN                                       1.95E-14  0.00E+00  0.00E+00   1
  137 SiO2         CRP          SiO          O                                        1.95E-14  0.00E+00  0.00E+00   1
  138 SiOX         CRP          SiX          O                                        9.75E-15  0.00E+00  0.00E+00   1
