#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
 1223 N+           CH2          CH2+         N                                        1.00E-09  0.00E+00  0.00E+00   2
 1224 N+           CO2          CO+          NO                                       2.50E-10  0.00E+00  0.00E+00   2
 1225 N+           COX          CX+          NO                                       1.25E-10  0.00E+00  0.00E+00   2
 1226 N+           COX          CO+          NX                                       1.25E-10  0.00E+00  0.00E+00   2
 1227 N+           CO2          CO2+         N                                        1.10E-09  0.00E+00  0.00E+00   2
 1228 N+           COX          COX+         N                                        1.10E-09  0.00E+00  0.00E+00   2
 1229 N+           H2O          H2O+         N                                        2.60E-09  0.00E+00  0.00E+00   2
 1230 N+           H2X          H2X+         N                                        2.60E-09  0.00E+00  0.00E+00   2
 1231 N+           H2S          HS+          NH                                       5.51E-10  0.00E+00  0.00E+00   2
 1232 N+           H2S          H2S+         N                                        1.06E-09  0.00E+00  0.00E+00   2
 1233 N+           HCN          HCN+         N                                        1.20E-09  0.00E+00  0.00E+00   2
 1234 N+           HCO          NH+          CO                                       4.50E-10  0.00E+00  0.00E+00   2
 1235 N+           HCX          NH+          CX                                       4.50E-10  0.00E+00  0.00E+00   2
 1236 N+           HCO          HCO+         N                                        4.50E-10  0.00E+00  0.00E+00   2
 1237 N+           HCX          HCX+         N                                        4.50E-10  0.00E+00  0.00E+00   2
 1238 N+           NH2          NH2+         N                                        1.00E-09  0.00E+00  0.00E+00   2
 1239 N+           OCS          S+           CO           N                           3.08E-10  0.00E+00  0.00E+00   2
 1240 N+           XCS          S+           CX           N                           3.08E-10  0.00E+00  0.00E+00   2
 1241 N+           OCS          CS+          NO                                       7.00E-11  0.00E+00  0.00E+00   2
 1242 N+           XCS          CS+          NX                                       7.00E-11  0.00E+00  0.00E+00   2
 1243 N+           OCS          OCS+         N                                        1.02E-09  0.00E+00  0.00E+00   2
 1244 N+           XCS          XCS+         N                                        1.02E-09  0.00E+00  0.00E+00   2
 1245 N+           H2CO         NO+          CH2                                      2.90E-10  0.00E+00  0.00E+00   2
 1246 N+           H2CX         NX+          CH2                                      2.90E-10  0.00E+00  0.00E+00   2
 1247 N+           H2CO         HCO+         NH                                       7.30E-10  0.00E+00  0.00E+00   2
 1248 N+           H2CX         HCX+         NH                                       7.30E-10  0.00E+00  0.00E+00   2
 1249 N+           H2CO         H2CO+        N                                        1.90E-09  0.00E+00  0.00E+00   2
 1250 N+           H2CX         H2CX+        N                                        1.90E-09  0.00E+00  0.00E+00   2
 1251 N+           NH3          N2H+         H2                                       2.20E-10  0.00E+00  0.00E+00   2
 1252 N+           NH3          NH2+         NH                                       2.20E-10  0.00E+00  0.00E+00   2
 1253 N+           NH3          NH3+         N                                        2.00E-09  0.00E+00  0.00E+00   2
 1254 N+           CH4          HCN+         H2           H                           5.60E-11  0.00E+00  0.00E+00   2
 1255 N+           CH4          CH3+         N            H                           4.70E-10  0.00E+00  0.00E+00   2
 1256 N+           CH4          CH3+         NH                                       4.70E-10  0.00E+00  0.00E+00   2
 1257 N+           CH4          HCNH+        H            H                           3.80E-10  0.00E+00  0.00E+00   2
 1258 N+           CH4          HCNH+        H2                                       3.80E-10  0.00E+00  0.00E+00   2
 1259 N+           CH4          CH4+         N                                        2.80E-11  0.00E+00  0.00E+00   2
 1260 N+           CH4O         NO+          CH3          H                           3.10E-10  0.00E+00  0.00E+00   2
 1261 N+           CH4X         NX+          CH3          H                           3.10E-10  0.00E+00  0.00E+00   2
 1262 N+           CH4O         CH3+         NO           H                           1.24E-10  0.00E+00  0.00E+00   2
 1263 N+           CH4X         CH3+         NX           H                           1.24E-10  0.00E+00  0.00E+00   2
 1264 N+           CH4O         H2CO+        NH           H                           9.30E-10  0.00E+00  0.00E+00   2
 1265 N+           CH4X         H2CX+        NH           H                           9.30E-10  0.00E+00  0.00E+00   2
 1266 N+           CH4O         H3CO+        NH                                       4.96E-10  0.00E+00  0.00E+00   2
 1267 N+           CH4X         H3CX+        NH                                       4.96E-10  0.00E+00  0.00E+00   2
 1268 N+           CH4O         CH4O+        N                                        1.24E-09  0.00E+00  0.00E+00   2
 1269 N+           CH4X         CH4X+        N                                        1.24E-09  0.00E+00  0.00E+00   2
 1270 O+           Fe           Fe+          O                                        2.90E-09  0.00E+00  0.00E+00   2
 1271 X+           Fe           Fe+          X                                        2.90E-09  0.00E+00  0.00E+00   2
 1272 O+           H            H+           O                                        7.00E-10  0.00E+00  0.00E+00   2
 1273 X+           H            H+           X                                        7.00E-10  0.00E+00  0.00E+00   2
 1274 O+           C2           C2+          O                                        4.80E-10  0.00E+00  0.00E+00   2
 1275 X+           C2           C2+          X                                        4.80E-10  0.00E+00  0.00E+00   2
 1276 O+           C2           CO+          C                                        4.80E-10  0.00E+00  0.00E+00   2
 1277 X+           C2           CX+          C                                        4.80E-10  0.00E+00  0.00E+00   2
 1278 O+           CH           CH+          O                                        3.50E-10  0.00E+00  0.00E+00   2
 1279 X+           CH           CH+          X                                        3.50E-10  0.00E+00  0.00E+00   2
 1280 O+           CH           CO+          H                                        3.50E-10  0.00E+00  0.00E+00   2
 1281 X+           CH           CX+          H                                        3.50E-10  0.00E+00  0.00E+00   2
 1282 O+           CN           NO+          C                                        1.00E-09  0.00E+00  0.00E+00   2
 1283 X+           CN           NX+          C                                        1.00E-09  0.00E+00  0.00E+00   2
 1284 O+           H2           OH+          H                                        1.60E-09  0.00E+00  0.00E+00   2
 1285 X+           H2           XH+          H                                        1.60E-09  0.00E+00  0.00E+00   2
 1286 O+           N2           NO+          N                                        1.20E-12  0.00E+00  0.00E+00   2
 1287 X+           N2           NX+          N                                        1.20E-12  0.00E+00  0.00E+00   2
 1288 O+           NH           NH+          O                                        3.60E-10  0.00E+00  0.00E+00   2
 1289 X+           NH           NH+          X                                        3.60E-10  0.00E+00  0.00E+00   2
 1290 O+           NH           NO+          H                                        3.60E-10  0.00E+00  0.00E+00   2
 1291 X+           NH           NX+          H                                        3.60E-10  0.00E+00  0.00E+00   2
 1292 O+           NO           NO+          O                                        1.70E-12  0.00E+00  0.00E+00   2
 1293 X+           NO           NX+          O                                        8.50E-13  0.00E+00  0.00E+00   2
 1294 X+           NO           NO+          X                                        8.50E-13  0.00E+00  0.00E+00   2
 1295 O+           NX           NX+          O                                        8.50E-13  0.00E+00  0.00E+00   2
 1296 O+           NX           NO+          X                                        8.50E-13  0.00E+00  0.00E+00   2
 1297 O+           O2           O2+          O                                        3.00E-11  0.00E+00  0.00E+00   2
 1298 X+           O2           OX+          O                                        2.00E-11  0.00E+00  0.00E+00   2
 1299 X+           O2           O2+          X                                        1.00E-11  0.00E+00  0.00E+00   2
 1300 O+           OX           OX+          O                                        2.00E-11  0.00E+00  0.00E+00   2
 1301 O+           OX           O2+          X                                        1.00E-11  0.00E+00  0.00E+00   2
 1302 O+           OH           O2+          H                                        3.60E-10  0.00E+00  0.00E+00   2
 1303 X+           OH           OX+          H                                        3.60E-10  0.00E+00  0.00E+00   2
 1304 O+           XH           OX+          H                                        3.60E-10  0.00E+00  0.00E+00   2
 1305 O+           OH           OH+          O                                        3.60E-10  0.00E+00  0.00E+00   2
 1306 X+           OH           XH+          O                                        1.80E-10  0.00E+00  0.00E+00   2
 1307 X+           OH           OH+          X                                        1.80E-10  0.00E+00  0.00E+00   2
 1308 O+           XH           XH+          O                                        1.80E-10  0.00E+00  0.00E+00   2
 1309 O+           XH           OH+          X                                        1.80E-10  0.00E+00  0.00E+00   2
 1310 O+           C2H          CO+          CH                                       4.60E-10  0.00E+00  0.00E+00   2
 1311 X+           C2H          CX+          CH                                       4.60E-10  0.00E+00  0.00E+00   2
 1312 O+           C2H          C2H+         O                                        4.60E-10  0.00E+00  0.00E+00   2
 1313 X+           C2H          C2H+         X                                        4.60E-10  0.00E+00  0.00E+00   2
 1314 O+           CH2          CH2+         O                                        9.70E-10  0.00E+00  0.00E+00   2
 1315 X+           CH2          CH2+         X                                        9.70E-10  0.00E+00  0.00E+00   2
 1316 O+           CO2          O2+          CO                                       1.10E-09  0.00E+00  0.00E+00   2
 1317 X+           CO2          OX+          CO                                       7.33E-10  0.00E+00  0.00E+00   2
 1318 X+           CO2          O2+          CX                                       3.67E-10  0.00E+00  0.00E+00   2
 1319 O+           COX          OX+          CO                                       7.33E-10  0.00E+00  0.00E+00   2
 1320 O+           COX          O2+          CX                                       3.67E-10  0.00E+00  0.00E+00   2
 1321 O+           H2O          H2O+         O                                        3.20E-09  0.00E+00  0.00E+00   2
 1322 X+           H2O          H2X+         O                                        1.60E-09  0.00E+00  0.00E+00   2
 1323 X+           H2O          H2O+         X                                        1.60E-09  0.00E+00  0.00E+00   2
 1324 O+           H2X          H2X+         O                                        1.60E-09  0.00E+00  0.00E+00   2
 1325 O+           H2X          H2O+         X                                        1.60E-09  0.00E+00  0.00E+00   2
 1326 O+           H2S          H2O          S+                                       2.20E-10  0.00E+00  0.00E+00   2
 1327 X+           H2S          H2X          S+                                       2.20E-10  0.00E+00  0.00E+00   2
 1328 O+           H2S          HS+          OH                                       4.20E-10  0.00E+00  0.00E+00   2
 1329 X+           H2S          HS+          XH                                       4.20E-10  0.00E+00  0.00E+00   2
 1330 O+           H2S          H2S+         O                                        1.80E-09  0.00E+00  0.00E+00   2
 1331 X+           H2S          H2S+         X                                        1.80E-09  0.00E+00  0.00E+00   2
 1332 O+           HCN          CO+          NH                                       1.20E-09  0.00E+00  0.00E+00   2
 1333 X+           HCN          CX+          NH                                       1.20E-09  0.00E+00  0.00E+00   2
 1334 O+           HCN          NO+          CH                                       1.20E-09  0.00E+00  0.00E+00   2
 1335 X+           HCN          NX+          CH                                       1.20E-09  0.00E+00  0.00E+00   2
 1336 O+           HCN          HCO+         N                                        1.20E-09  0.00E+00  0.00E+00   2
 1337 X+           HCN          HCX+         N                                        1.20E-09  0.00E+00  0.00E+00   2
 1338 O+           HCO          OH+          CO                                       4.30E-10  0.00E+00  0.00E+00   2
 1339 X+           HCO          XH+          CO                                       2.15E-10  0.00E+00  0.00E+00   2
 1340 X+           HCO          OH+          CX                                       2.15E-10  0.00E+00  0.00E+00   2
 1341 O+           HCX          XH+          CO                                       2.15E-10  0.00E+00  0.00E+00   2
 1342 O+           HCX          OH+          CX                                       2.15E-10  0.00E+00  0.00E+00   2
 1343 O+           HCO          HCO+         O                                        4.30E-10  0.00E+00  0.00E+00   2
 1344 X+           HCO          HCX+         O                                        2.15E-10  0.00E+00  0.00E+00   2
 1345 X+           HCO          HCO+         X                                        2.15E-10  0.00E+00  0.00E+00   2
 1346 O+           HCX          HCX+         O                                        2.15E-10  0.00E+00  0.00E+00   2
 1347 O+           HCX          HCO+         X                                        2.15E-10  0.00E+00  0.00E+00   2
 1348 O+           N2O          NO+          NO                                       6.30E-10  0.00E+00  0.00E+00   2
 1349 X+           N2O          NX+          NO                                       3.15E-10  0.00E+00  0.00E+00   2
 1350 X+           N2O          NO+          NX                                       3.15E-10  0.00E+00  0.00E+00   2
 1351 O+           N2X          NX+          NO                                       3.15E-10  0.00E+00  0.00E+00   2
 1352 O+           N2X          NO+          NX                                       3.15E-10  0.00E+00  0.00E+00   2
 1353 O+           NH2          NH2+         O                                        1.00E-09  0.00E+00  0.00E+00   2
 1354 X+           NH2          NH2+         X                                        1.00E-09  0.00E+00  0.00E+00   2
 1355 O+           NO2          NO2+         O                                        1.60E-09  0.00E+00  0.00E+00   2
 1356 X+           NO2          NOX+         O                                        1.07E-09  0.00E+00  0.00E+00   2
 1357 X+           NO2          NO2+         X                                        5.33E-10  0.00E+00  0.00E+00   2
 1358 O+           NOX          NOX+         O                                        1.07E-09  0.00E+00  0.00E+00   2
 1359 O+           NOX          NO2+         X                                        5.33E-10  0.00E+00  0.00E+00   2
 1360 O+           OCS          S+           CO2                                      2.00E-11  0.00E+00  0.00E+00   2
 1361 X+           OCS          S+           COX                                      2.00E-11  0.00E+00  0.00E+00   2
 1362 O+           XCS          S+           COX                                      2.00E-11  0.00E+00  0.00E+00   2
 1363 O+           OCS          OCS+         O                                        6.50E-10  0.00E+00  0.00E+00   2
 1364 X+           OCS          XCS+         O                                        3.25E-10  0.00E+00  0.00E+00   2
 1365 X+           OCS          OCS+         X                                        3.25E-10  0.00E+00  0.00E+00   2
 1366 O+           XCS          XCS+         O                                        3.25E-10  0.00E+00  0.00E+00   2
 1367 O+           XCS          OCS+         X                                        3.25E-10  0.00E+00  0.00E+00   2
 1368 O+           SO2          O2+          SO                                       8.00E-10  0.00E+00  0.00E+00   2
 1369 X+           SO2          OX+          SO                                       5.33E-10  0.00E+00  0.00E+00   2
 1370 X+           SO2          O2+          SX                                       2.67E-10  0.00E+00  0.00E+00   2
 1371 O+           SOX          OX+          SO                                       5.33E-10  0.00E+00  0.00E+00   2
 1372 O+           SOX          O2+          SX                                       2.67E-10  0.00E+00  0.00E+00   2
 1373 O+           H2CO         HCO+         OH                                       1.40E-09  0.00E+00  0.00E+00   2
 1374 X+           H2CO         HCX+         OH                                       7.00E-10  0.00E+00  0.00E+00   2
 1375 X+           H2CO         HCO+         XH                                       7.00E-10  0.00E+00  0.00E+00   2
 1376 O+           H2CX         HCX+         OH                                       7.00E-10  0.00E+00  0.00E+00   2
 1377 O+           H2CX         HCO+         XH                                       7.00E-10  0.00E+00  0.00E+00   2
 1378 O+           H2CO         H2CO+        O                                        2.10E-09  0.00E+00  0.00E+00   2
 1379 X+           H2CO         H2CX+        O                                        1.05E-09  0.00E+00  0.00E+00   2
 1380 X+           H2CO         H2CO+        X                                        1.05E-09  0.00E+00  0.00E+00   2
 1381 O+           H2CX         H2CX+        O                                        1.05E-09  0.00E+00  0.00E+00   2
 1382 O+           H2CX         H2CO+        X                                        1.05E-09  0.00E+00  0.00E+00   2
 1383 O+           NH3          NH3+         O                                        1.20E-09  0.00E+00  0.00E+00   2
 1384 X+           NH3          NH3+         X                                        1.20E-09  0.00E+00  0.00E+00   2
 1385 O+           CH4          CH3+         OH                                       1.10E-10  0.00E+00  0.00E+00   2
 1386 X+           CH4          CH3+         XH                                       1.10E-10  0.00E+00  0.00E+00   2
 1387 O+           CH4          CH4+         O                                        8.90E-10  0.00E+00  0.00E+00   2
 1388 X+           CH4          CH4+         X                                        8.90E-10  0.00E+00  0.00E+00   2
 1389 O+           CH4O         H2CO+        H2O                                      9.50E-11  0.00E+00  0.00E+00   2
 1390 X+           CH4O         H2CX+        H2O                                      4.75E-11  0.00E+00  0.00E+00   2
 1391 X+           CH4O         H2CO+        H2X                                      4.75E-11  0.00E+00  0.00E+00   2
 1392 O+           CH4X         H2CX+        H2O                                      4.75E-11  0.00E+00  0.00E+00   2
 1393 O+           CH4X         H2CO+        H2X                                      4.75E-11  0.00E+00  0.00E+00   2
 1394 O+           CH4O         H3CO+        OH                                       1.33E-09  0.00E+00  0.00E+00   2
 1395 X+           CH4O         H3CX+        OH                                       6.65E-10  0.00E+00  0.00E+00   2
 1396 X+           CH4O         H3CO+        XH                                       6.65E-10  0.00E+00  0.00E+00   2
 1397 O+           CH4X         H3CX+        OH                                       6.65E-10  0.00E+00  0.00E+00   2
 1398 O+           CH4X         H3CO+        XH                                       6.65E-10  0.00E+00  0.00E+00   2
 1399 O+           CH4O         CH4O+        O                                        4.75E-10  0.00E+00  0.00E+00   2
 1400 X+           CH4O         CH4X+        O                                        2.38E-10  0.00E+00  0.00E+00   2
 1401 X+           CH4O         CH4O+        X                                        2.38E-10  0.00E+00  0.00E+00   2
 1402 O+           CH4X         CH4X+        O                                        2.38E-10  0.00E+00  0.00E+00   2
 1403 O+           CH4X         CH4O+        X                                        2.38E-10  0.00E+00  0.00E+00   2
 1404 P+           Si           P            Si+                                      1.00E-09  0.00E+00  0.00E+00   2
 1405 P+           O2           PO+          O                                        4.90E-10  0.00E+00  0.00E+00   2
 1406 P+           OX           PX+          O                                        2.45E-10  0.00E+00  0.00E+00   2
 1407 P+           OX           PO+          X                                        2.45E-10  0.00E+00  0.00E+00   2
 1408 P+           OH           PO+          H                                        4.60E-09 -5.00E-01  0.00E+00   2
 1409 P+           XH           PX+          H                                        4.60E-09 -5.00E-01  0.00E+00   2
 1410 P+           H2O          PO+          H2                                       1.07E-09 -5.00E-01  0.00E+00   2
 1411 P+           H2X          PX+          H2                                       1.07E-09 -5.00E-01  0.00E+00   2
 1412 P+           H2O          HPO+         H                                        1.07E-09 -5.00E-01  0.00E+00   2
 1413 P+           H2X          HPX+         H                                        1.07E-09 -5.00E-01  0.00E+00   2
 1414 P+           C2H2         PC2H+        H                                        1.24E-09  0.00E+00  0.00E+00   2
 1415 P+           C2H2         PC2H2+                                                6.00E-11  0.00E+00  0.00E+00   2
 1416 P+           NH3          NH3+         P                                        8.60E-10 -5.00E-01  0.00E+00   2
 1417 P+           NH3          PNH2+        H                                        8.60E-10 -5.00E-01  0.00E+00   2
 1418 P+           CH4          PCH2+        H2                                       9.60E-10  0.00E+00  0.00E+00   2
 1419 P+           C2H4         PC2H2+       H2                                       1.20E-09  0.00E+00  0.00E+00   2
 1420 S+           Fe           Fe+          S                                        1.80E-10  0.00E+00  0.00E+00   2
 1421 S+           Mg           Mg+          S                                        2.80E-10  0.00E+00  0.00E+00   2
 1422 S+           Na           Na+          S                                        2.60E-10  0.00E+00  0.00E+00   2
 1423 S+           Si           Si+          S                                        1.60E-09  0.00E+00  0.00E+00   2
 1424 S+           C2           CS+          C                                        8.10E-10  0.00E+00  0.00E+00   2
 1425 S+           CH           CS+          H                                        4.40E-09 -5.00E-01  0.00E+00   2
 1426 S+           NH           NS+          H                                        3.70E-09 -5.00E-01  0.00E+00   2
 1427 S+           NO           NO+          S                                        3.60E-10 -5.00E-01  0.00E+00   2
 1428 S+           NX           NX+          S                                        3.60E-10 -5.00E-01  0.00E+00   2
 1429 S+           O2           SO+          O                                        2.00E-11  0.00E+00  0.00E+00   2
 1430 S+           OX           SX+          O                                        1.00E-11  0.00E+00  0.00E+00   2
 1431 S+           OX           SO+          X                                        1.00E-11  0.00E+00  0.00E+00   2
 1432 S+           OH           SO+          H                                        4.60E-09 -5.00E-01  0.00E+00   2
 1433 S+           XH           SX+          H                                        4.60E-09 -5.00E-01  0.00E+00   2
 1434 S+           SiC          SiC+         S                                        3.70E-09 -5.00E-01  0.00E+00   2
 1435 S+           SiH          SiH+         S                                        1.41E-10 -5.00E-01  0.00E+00   2
 1436 S+           SiH          SiS+         H                                        1.41E-10 -5.00E-01  0.00E+00   2
 1437 S+           SiS          SiS+         S                                        3.50E-09 -5.00E-01  0.00E+00   2
 1438 S+           C2H          C2S+         H                                        1.96E-09 -5.00E-01  0.00E+00   2
 1439 S+           CH2          HCS+         H                                        7.08E-10 -5.00E-01  0.00E+00   2
 1440 S+           H2S          S2+          H2                                       6.40E-10 -5.00E-01  0.00E+00   2
 1441 S+           H2S          S2H+         H                                        2.00E-10 -5.00E-01  0.00E+00   2
 1442 S+           H2S          H2S+         S                                        4.40E-11 -5.00E-01  0.00E+00   2
 1443 S+           HCO          HS+          CO                                       5.00E-10 -5.00E-01  0.00E+00   2
 1444 S+           HCX          HS+          CX                                       5.00E-10 -5.00E-01  0.00E+00   2
 1445 S+           HCO          HCO+         S                                        5.00E-10 -5.00E-01  0.00E+00   2
 1446 S+           HCX          HCX+         S                                        5.00E-10 -5.00E-01  0.00E+00   2
 1447 S+           OCS          S2+          CO                                       9.10E-10 -5.00E-01  0.00E+00   2
 1448 S+           XCS          S2+          CX                                       9.10E-10 -5.00E-01  0.00E+00   2
 1449 S+           C2H2         HC2S+        H                                        9.50E-10  0.00E+00  0.00E+00   2
 1450 S+           C3H          C3S+         H                                        6.00E-09 -5.00E-01  0.00E+00   2
 1451 S+           HC3          C3S+         H                                        6.74E-09 -5.00E-01  0.00E+00   2
 1452 S+           CH3          H2CS+        H                                        1.00E-11  0.00E+00  0.00E+00   2
 1453 S+           H2CO         H2S+         CO                                       1.10E-09 -5.00E-01  0.00E+00   2
 1454 S+           H2CX         H2S+         CX                                       1.10E-09 -5.00E-01  0.00E+00   2
 1455 S+           H2CO         HCO+         HS                                       1.10E-09 -5.00E-01  0.00E+00   2
 1456 S+           H2CX         HCX+         HS                                       1.10E-09 -5.00E-01  0.00E+00   2
 1457 S+           NH3          NH3+         S                                        1.60E-09 -5.00E-01  0.00E+00   2
 1458 S+           C2H3         HC2S+        H2                                       1.52E-09 -5.00E-01  0.00E+00   2
 1459 S+           C3H2         HC3S+        H                                        2.87E-09 -5.00E-01  0.00E+00   2
 1460 S+           H2C3         HC3S+        H                                        3.45E-09 -5.00E-01  0.00E+00   2
 1461 S+           C4H          C4S+         H                                        1.88E-09 -5.00E-01  0.00E+00   2
 1462 S+           CH4          H3CS+        H                                        1.40E-10  0.00E+00  0.00E+00   2
 1463 S+           C4H2         C3H2+        CS                                       1.20E-10  0.00E+00  0.00E+00   2
 1464 S+           C4H2         H2C3+        CS                                       1.20E-10  0.00E+00  0.00E+00   2
 1465 S+           C4H2         C4H+         HS                                       1.60E-10  0.00E+00  0.00E+00   2
 1466 S+           C4H2         C4H2+        S                                        7.20E-10  0.00E+00  0.00E+00   2
 1467 S+           C4H2         HC4S+        H                                        4.80E-10  0.00E+00  0.00E+00   2
 1468 Si+          Fe           Fe+          Si                                       1.90E-09  0.00E+00  0.00E+00   2
 1469 Si+          Mg           Mg+          Si                                       2.90E-09  0.00E+00  0.00E+00   2
 1470 Si+          Na           Na+          Si                                       2.70E-09  0.00E+00  0.00E+00   2
 1471 Si+          CH           SiC+         H                                        4.50E-09 -5.00E-01  0.00E+00   2
 1472 Si+          NH           SiN+         H                                        3.85E-09 -5.00E-01  0.00E+00   2
 1473 Si+          OH           SiO+         H                                        4.70E-09 -5.00E-01  0.00E+00   2
 1474 Si+          XH           SiX+         H                                        4.70E-09 -5.00E-01  0.00E+00   2
 1475 Si+          HF           SiF+         H                                        5.70E-09 -1.50E-01  0.00E+00   2
 1476 Si+          CH2          CHSi+        H                                        7.23E-10 -5.00E-01  0.00E+00   2
 1477 Si+          H2O          HSiO+        H                                        2.20E-09 -5.00E-01  0.00E+00   2
 1478 Si+          H2X          HSiX+        H                                        2.20E-09 -5.00E-01  0.00E+00   2
 1479 Si+          HCN          SiNC+        H                                        7.37E-09 -5.00E-01  0.00E+00   2
 1480 Si+          HNC          SiNC+        H                                        6.68E-09 -5.00E-01  0.00E+00   2
 1481 Si+          OCS          SiS+         CO                                       1.50E-09 -5.00E-01  0.00E+00   2
 1482 Si+          XCS          SiS+         CX                                       1.50E-09 -5.00E-01  0.00E+00   2
 1483 Si+          C2H2         SiC2H+       H                                        2.50E-10  0.00E+00  0.00E+00   2
 1484 Si+          C3H          SiC3+        H                                        6.21E-09 -5.00E-01  0.00E+00   2
 1485 Si+          HC3          SiC3+        H                                        8.03E-09 -5.00E-01  0.00E+00   2
 1486 Si+          CH3          CHSi+        H2                                       1.00E-09  0.00E+00  0.00E+00   2
 1487 Si+          CH3          CH2Si+       H                                        1.00E-09  0.00E+00  0.00E+00   2
 1488 Si+          NH3          SiNH2+       H                                        1.75E-09 -5.00E-01  0.00E+00   2
 1489 Si+          C2H3         SiC2H2+      H                                        1.57E-09 -5.00E-01  0.00E+00   2
 1490 Si+          C3H2         SiC3H+       H                                        2.97E-09 -5.00E-01  0.00E+00   2
 1491 Si+          H2C3         SiC3H+       H                                        3.59E-09 -5.00E-01  0.00E+00   2
 1492 Si+          C4H          SiC4+        H                                        1.96E-09 -5.00E-01  0.00E+00   2
 1493 Si+          C2H4         SiC2H3+      H                                        1.00E-09  0.00E+00  0.00E+00   2
 1494 Si+          C3H3         SiC3H2+      H                                        3.84E-09 -5.00E-01  0.00E+00   2
 1495 Si+          C4H2         C4H+         SiH                                      1.60E-09  0.00E+00  0.00E+00   2
 1496 Si+          C3H4         SiC3H2+      H2                                       7.46E-10 -5.00E-01  0.00E+00   2
 1497 C2+          C            C+           C2                                       1.10E-10  0.00E+00  0.00E+00   2
 1498 C2+          N            C+           CN                                       4.00E-11  0.00E+00  0.00E+00   2
 1499 C2+          O            CO+          C                                        3.10E-10  0.00E+00  0.00E+00   2
 1500 C2+          X            CX+          C                                        3.10E-10  0.00E+00  0.00E+00   2
 1501 C2+          S            S+           C2                                       5.80E-10  0.00E+00  0.00E+00   2
 1502 C2+          S            CS+          C                                        5.80E-10  0.00E+00  0.00E+00   2
 1503 C2+          C2           C3+          C                                        8.70E-10  0.00E+00  0.00E+00   2
 1504 C2+          CH           CH+          C2                                       3.20E-10  0.00E+00  0.00E+00   2
 1505 C2+          CH           C3+          H                                        3.20E-10  0.00E+00  0.00E+00   2
 1506 C2+          H2           C2H+         H                                        1.10E-09  0.00E+00  0.00E+00   2
 1507 C2+          NH           C2H+         N                                        3.30E-10  0.00E+00  0.00E+00   2
 1508 C2+          NH           C2N+         H                                        3.30E-10  0.00E+00  0.00E+00   2
 1509 C2+          NO           NO+          C2                                       3.40E-10  0.00E+00  0.00E+00   2
 1510 C2+          NX           NX+          C2                                       3.40E-10  0.00E+00  0.00E+00   2
 1511 C2+          O2           CO+          CO                                       8.00E-10  0.00E+00  0.00E+00   2
 1512 C2+          OX           CX+          CO                                       4.00E-10  0.00E+00  0.00E+00   2
 1513 C2+          OX           CO+          CX                                       4.00E-10  0.00E+00  0.00E+00   2
 1514 C2+          CH2          CH2+         C2                                       4.50E-10  0.00E+00  0.00E+00   2
 1515 C2+          CH2          C3H+         H                                        4.50E-10  0.00E+00  0.00E+00   2
 1516 C2+          H2O          C2H+         OH                                       4.40E-10  0.00E+00  0.00E+00   2
 1517 C2+          H2X          C2H+         XH                                       4.40E-10  0.00E+00  0.00E+00   2
 1518 C2+          H2O          C2HO+        H                                        4.40E-10  0.00E+00  0.00E+00   2
 1519 C2+          H2X          C2HX+        H                                        4.40E-10  0.00E+00  0.00E+00   2
 1520 C2+          HCN          C3H+         N                                        7.80E-10  0.00E+00  0.00E+00   2
 1521 C2+          HCN          C3N+         H                                        1.60E-09  0.00E+00  0.00E+00   2
 1522 C2+          HCO          C2H+         CO                                       3.80E-10  0.00E+00  0.00E+00   2
 1523 C2+          HCX          C2H+         CX                                       3.80E-10  0.00E+00  0.00E+00   2
 1524 C2+          HCO          HCO+         C2                                       3.80E-10  0.00E+00  0.00E+00   2
 1525 C2+          HCX          HCX+         C2                                       3.80E-10  0.00E+00  0.00E+00   2
 1526 C2+          NH2          NH2+         C2                                       4.60E-10  0.00E+00  0.00E+00   2
 1527 C2+          NH2          C2NH+        H                                        4.60E-10  0.00E+00  0.00E+00   2
 1528 C2+          C2H2         C4H+         H                                        1.70E-09  0.00E+00  0.00E+00   2
 1529 C2+          CH4          C2H+         CH3                                      2.38E-10  0.00E+00  0.00E+00   2
 1530 C2+          CH4          C2H2+        CH2                                      1.82E-10  0.00E+00  0.00E+00   2
 1531 C2+          CH4          C3H+         H2           H                           1.96E-10  0.00E+00  0.00E+00   2
 1532 C2+          CH4          C3H2+        H2                                       2.87E-10  0.00E+00  0.00E+00   2
 1533 C2+          CH4          H2C3+        H2                                       2.87E-10  0.00E+00  0.00E+00   2
 1534 C2+          CH4          C3H3+        H                                        1.05E-10  0.00E+00  0.00E+00   2
 1535 C2+          CH4          H3C3+        H                                        1.05E-10  0.00E+00  0.00E+00   2
 1536 CH+          C            C2+          H                                        1.20E-09  0.00E+00  0.00E+00   2
 1537 CH+          Fe           Fe+          CH                                       2.60E-10  0.00E+00  0.00E+00   2
 1538 CH+          H            C+           H2                                       7.50E-10  0.00E+00  0.00E+00   2
 1539 CH+          Mg           Mg+          CH                                       3.60E-10  0.00E+00  0.00E+00   2
 1540 CH+          N            CN+          H                                        1.90E-10  0.00E+00  0.00E+00   2
 1541 CH+          Na           Na+          CH                                       3.50E-10  0.00E+00  0.00E+00   2
